id,load,bs,reward
549,10,2,-31.90966796875
550,10,2,-88.387939453125
551,10,2,-39.525146484375
552,10,2,-121.996826171875
553,10,2,-37.421875
554,10,2,-120.843017578125
555,10,2,-29.197509765625
556,10,2,-444.84375
557,10,2,-31.479736328125
558,10,2,-92.6962890625
559,10,2,-31.888671875
560,10,2,-71.238037109375
561,10,2,-38.69775390625
562,10,2,-151.189697265625
563,10,2,-31.36181640625
564,10,2,-189.40185546875
565,10,2,-33.85986328125
566,10,2,-40.76171875
567,10,2,-36.835693359375
568,10,2,-136.826904296875
569,10,2,-30.9912109375
570,10,2,-47.029541015625
571,10,2,-41.912109375
572,10,2,-84.012939453125
573,10,2,-35.110107421875
574,10,2,-146.81201171875
575,10,2,-31.54052734375
576,10,2,-299.72265625
577,10,2,-35.935791015625
578,10,2,-126.004150390625
579,10,2,-42.85791015625
580,10,2,-197.462158203125
581,10,2,-29.744140625
582,10,2,-275.11767578125
583,10,2,-34.11376953125
584,10,2,-125.210205078125
585,10,2,-39.49267578125
586,10,2,-288.8837890625
587,10,2,-31.25439453125
588,10,2,-147.8271484375
589,10,2,-31.23681640625
590,10,2,-52.28515625
591,10,2,-37.519775390625
592,10,2,-116.732177734375
593,10,2,-31.880859375
594,10,2,-56.13623046875
595,10,2,-54.265380859375
596,10,2,-219.0703125
597,10,2,-43.635498046875
598,10,2,-180.70849609375
599,10,2,-34.431640625
600,10,2,-94.893798828125
601,10,2,-43.863037109375
602,10,2,-45.373291015625
603,10,2,-40.2587890625
604,10,2,-80.768310546875
605,10,2,-32.153076171875
606,10,2,-71.122802734375
607,10,2,-32.944580078125
608,10,2,-203.037841796875
609,10,2,-40.992431640625
610,10,2,-55.99560546875
611,10,2,-34.0458984375
612,10,2,-39.48388671875
613,10,2,-36.984619140625
614,10,2,-155.455078125
615,10,2,-39.5322265625
616,10,2,-123.896484375
617,10,2,-33.80615234375
618,10,2,-52.429443359375
619,10,2,-31.08837890625
620,10,2,-52.91162109375
621,10,2,-33.5625
622,10,2,-36.96728515625
623,10,2,-32.230712890625
624,10,2,-505.422119140625
625,10,2,-38.717041015625
626,10,2,-144.59619140625
627,10,2,-34.115966796875
628,10,2,-77.10107421875
629,10,2,-29.65380859375
630,10,2,-68.369140625
631,10,2,-32.37060546875
632,10,2,-68.029052734375
633,10,2,-39.350830078125
634,10,2,-58.724609375
635,10,2,-30.82763671875
636,10,2,-44.782958984375
637,10,2,-29.3720703125
638,10,2,-128.9951171875
639,10,2,-39.667724609375
640,10,2,-72.307373046875
641,10,2,-37.185546875
642,10,2,-66.40869140625
643,10,2,-31.37158203125
644,10,2,-108.156982421875
645,10,2,-30.214111328125
646,10,2,-253.002685546875
647,10,2,-46.154296875
648,10,2,-37.715087890625
649,10,2,-26.2587890625
650,10,2,-88.7880859375
651,10,2,-34.602783203125
652,10,2,-67.856201171875
653,10,2,-41.276123046875
654,10,2,-86.31494140625
655,10,2,-29.284423828125
656,10,2,-67.04052734375
657,10,2,-30.623046875
658,10,2,-135.64794921875
659,10,2,-34.221435546875
660,10,2,-78.3251953125
661,10,2,-29.149169921875
662,10,2,-49.2373046875
663,10,2,-38.44287109375
664,10,2,-140.51220703125
665,10,2,-33.705078125
666,10,2,-79.152099609375
667,10,2,-31.8056640625
668,10,2,-95.109375
669,10,2,-29.031005859375
670,10,2,-67.41845703125
671,10,2,-39.851318359375
672,10,2,-44.16552734375
673,10,2,-33.87646484375
674,10,2,-47.8720703125
675,10,2,-31.265869140625
676,10,2,-941.750732421875
677,10,2,-37.6982421875
678,10,2,-84.783447265625
679,10,2,-36.821044921875
680,10,2,-118.50732421875
681,10,2,-29.123291015625
682,10,2,-188.39501953125
683,10,2,-38.87109375
684,10,2,-46.591796875
685,10,2,-32.392578125
686,10,2,-58.250732421875
687,10,2,-45.232177734375
688,10,2,-85.85693359375
689,10,2,-43.35498046875
690,10,2,-70.01171875
691,10,2,-34.72265625
692,10,2,-97.8251953125
693,10,2,-35.312744140625
694,10,2,-174.08154296875
695,10,2,-31.150390625
696,10,2,-120.239990234375
697,10,2,-46.883056640625
698,10,2,-139.751708984375
699,10,2,-33.95849609375
700,10,2,-257.564697265625
701,10,2,-31.418701171875
